kW,t1,t2,V
0.0,73.0,77.0,390
0.0,73.0,77.0,391
5.3340000000000005,75.0,77.0,381
0.0,75.0,77.0,390
2.702,75.0,77.0,386
4.966,75.0,77.0,382
6.064,75.0,77.0,379
7.182,75.0,77.0,378
7.896,75.0,77.0,376
5.7,75.0,77.0,380
0.0,75.0,77.0,390
1.97,75.0,77.0,394
0.0,75.0,77.0,390
3.83,75.0,77.0,383
6.064,75.0,77.0,379
2.31,75.0,77.0,385
8.294,75.0,77.0,377
6.804,75.0,77.0,378
8.25,75.0,77.0,375
8.602,75.0,77.0,374
11.84,75.0,77.0,370
10.044,75.0,77.0,372
10.73,75.0,77.0,370
2.3040000000000003,75.0,77.0,384
7.144,75.0,75.0,376
0.0,75.0,75.0,389
0.39,75.0,75.0,390
6.064,75.0,75.0,379
7.144,75.0,77.0,376
0.0,75.0,77.0,390
0.391,75.0,77.0,391
6.064,75.0,77.0,379
6.7860000000000005,77.0,77.0,377
7.875,77.0,77.0,375
0.0,77.0,78.0,389
0.389,75.0,78.0,389
5.32,75.0,78.0,380
0.782,75.0,77.0,391
5.306,75.0,77.0,379
0.0,75.0,77.0,390
5.7,75.0,78.0,380
6.804,75.0,78.0,378
7.854,75.0,78.0,374
8.952,75.0,78.0,373
10.017,75.0,78.0,371
0.0,75.0,78.0,388
0.0,75.0,78.0,389
4.572,75.0,78.0,381
6.768,75.0,78.0,376
0.0,75.0,77.0,389
6.032,77.0,77.0,377
7.5,77.0,77.0,375
8.228,77.0,78.0,374
8.928,75.0,78.0,372
10.759,75.0,78.0,371
9.646,75.0,78.0,371
10.73,77.0,78.0,370
0.388,77.0,78.0,388
0.778,77.0,78.0,389
0.0,77.0,78.0,388
0.0,77.0,78.0,389
5.67,77.0,78.0,378
6.768,77.0,78.0,376
0.0,77.0,78.0,389
6.048,77.0,78.0,378
6.032,75.0,78.0,377
6.768,75.0,78.0,376
7.854,75.0,78.0,374
0.0,77.0,78.0,388
0.0,77.0,78.0,388
5.67,77.0,78.0,378
0.78,77.0,78.0,390
5.67,77.0,78.0,378
7.5200000000000005,77.0,78.0,376
6.392,77.0,78.0,376
7.106,77.0,78.0,374
7.5,77.0,78.0,375
8.206,77.0,78.0,373
8.928,77.0,78.0,372
0.0,77.0,78.0,388
1.158,77.0,78.0,386
3.8000000000000003,77.0,78.0,380
5.67,77.0,78.0,378
0.389,77.0,78.0,389
4.94,77.0,78.0,380
5.655,77.0,78.0,377
6.768,77.0,78.0,376
7.833,77.0,78.0,373
8.533,77.0,78.0,371
9.620000000000001,77.0,78.0,370
10.332,77.0,78.0,369
11.040000000000001,77.0,78.0,368
2.298,77.0,78.0,383
5.67,77.0,78.0,378
0.0,77.0,78.0,387
1.54,77.0,78.0,385
6.032,77.0,78.0,377
6.375,77.0,78.0,375
2.3040000000000003,77.0,78.0,384
5.292,77.0,78.0,378
5.655,77.0,78.0,377
6.0,77.0,78.0,375
7.106,77.0,78.0,374
0.0,77.0,78.0,386
0.0,77.0,78.0,387
4.1690000000000005,77.0,78.0,379
5.655,77.0,78.0,377
5.64,77.0,78.0,376
6.392,77.0,78.0,376
7.106,77.0,78.0,374
7.812,77.0,78.0,372
8.88,77.0,78.0,370
9.620000000000001,77.0,80.0,370
10.643,77.0,80.0,367
0.0,77.0,80.0,386
6.375,77.0,78.0,375
6.732,77.0,78.0,374
0.0,77.0,78.0,386
9.325000000000001,77.0,78.0,373
6.732,78.0,78.0,374
7.812,78.0,78.0,372
8.51,78.0,77.0,370
5.968,77.0,77.0,373
8.88,77.0,77.0,370
10.304,77.0,80.0,368
10.98,78.0,80.0,366
8.533,78.0,80.0,371
0.0,78.0,80.0,385
0.387,77.0,80.0,387
5.25,77.0,80.0,375
6.3580000000000005,77.0,80.0,374
1.552,77.0,80.0,388
5.625,77.0,80.0,375
6.3580000000000005,77.0,80.0,374
7.44,78.0,80.0,372
8.162,78.0,80.0,371
0.0,78.0,80.0,386
0.0,77.0,80.0,386
6.0,77.0,80.0,375
0.0,77.0,80.0,386
5.64,78.0,80.0,376
0.0,78.0,80.0,386
5.984,78.0,78.0,374
7.087,78.0,78.0,373
7.791,78.0,78.0,371
8.856,78.0,80.0,369
9.568,78.0,80.0,368
0.0,78.0,80.0,385
7.125,78.0,80.0,375
6.714,78.0,80.0,373
5.61,78.0,80.0,374
8.206,78.0,80.0,373
7.0680000000000005,78.0,80.0,372
8.14,78.0,80.0,370
8.856,78.0,80.0,369
8.856,78.0,80.0,369
8.856,78.0,80.0,369
9.909,78.0,80.0,367
0.77,78.0,80.0,385
0.385,78.0,80.0,385
1.905,78.0,80.0,381
0.0,78.0,80.0,385
6.016,78.0,80.0,376
5.25,78.0,80.0,375
6.714,78.0,80.0,373
2.66,78.0,80.0,380
5.625,78.0,80.0,375
5.61,78.0,80.0,374
6.341,78.0,80.0,373
7.42,78.0,80.0,371
0.0,78.0,80.0,385
0.0,78.0,80.0,385
1.149,78.0,80.0,383
0.0,78.0,80.0,384
0.0,78.0,80.0,386
2.6670000000000003,78.0,80.0,381
3.04,78.0,80.0,380
0.77,77.0,80.0,385
4.158,77.0,80.0,378
5.64,77.0,80.0,376
6.714,78.0,80.0,373
7.791,78.0,80.0,371
8.88,78.0,80.0,370
9.936,78.0,80.0,368
0.0,78.0,80.0,384
5.25,78.0,80.0,375
7.0680000000000005,78.0,80.0,372
0.385,78.0,80.0,385
5.25,78.0,80.0,375
6.696,78.0,80.0,372
7.4,78.0,82.0,370
8.832,78.0,82.0,368
8.832,78.0,82.0,368
9.15,78.0,82.0,366
10.22,78.0,82.0,365
