kW,t1,t2
0.782,75.0,77.0
5.306,75.0,77.0
0.0,75.0,77.0
5.7,75.0,78.0
6.804,75.0,78.0
7.854,75.0,78.0
8.952,75.0,78.0
10.017,75.0,78.0
0.0,75.0,78.0
0.0,75.0,78.0
4.572,75.0,78.0
6.768,75.0,78.0
0.0,75.0,77.0
6.032,77.0,77.0
7.5,77.0,77.0
8.228,77.0,78.0
8.928,75.0,78.0
10.759,75.0,78.0
9.646,75.0,78.0
10.73,77.0,78.0
0.388,77.0,78.0
0.778,77.0,78.0
0.0,77.0,78.0
0.0,77.0,78.0
5.67,77.0,78.0
6.768,77.0,78.0
0.0,77.0,78.0
6.048,77.0,78.0
6.032,75.0,78.0
6.768,75.0,78.0
7.854,75.0,78.0
0.0,77.0,78.0
0.0,77.0,78.0
5.67,77.0,78.0
0.78,77.0,78.0
5.67,77.0,78.0
7.5200000000000005,77.0,78.0
6.392,77.0,78.0
7.106,77.0,78.0
7.5,77.0,78.0
8.206,77.0,78.0
8.928,77.0,78.0
0.0,77.0,78.0
1.158,77.0,78.0
3.8000000000000003,77.0,78.0
5.67,77.0,78.0
0.389,77.0,78.0
4.94,77.0,78.0
5.655,77.0,78.0
6.768,77.0,78.0
7.833,77.0,78.0
8.533,77.0,78.0
9.620000000000001,77.0,78.0
10.332,77.0,78.0
11.040000000000001,77.0,78.0
2.298,77.0,78.0
5.67,77.0,78.0
0.0,77.0,78.0
1.54,77.0,78.0
6.032,77.0,78.0
6.375,77.0,78.0
2.3040000000000003,77.0,78.0
5.292,77.0,78.0
5.655,77.0,78.0
6.0,77.0,78.0
7.106,77.0,78.0
0.0,77.0,78.0
0.0,77.0,78.0
4.1690000000000005,77.0,78.0
5.655,77.0,78.0
5.64,77.0,78.0
6.392,77.0,78.0
7.106,77.0,78.0
7.812,77.0,78.0
8.88,77.0,78.0
9.620000000000001,77.0,80.0
10.643,77.0,80.0
0.0,77.0,80.0
6.375,77.0,78.0
6.732,77.0,78.0
0.0,77.0,78.0
9.325000000000001,77.0,78.0
6.732,78.0,78.0
7.812,78.0,78.0
8.51,78.0,77.0
5.968,77.0,77.0
8.88,77.0,77.0
10.304,77.0,80.0
10.98,78.0,80.0
8.533,78.0,80.0
0.0,78.0,80.0
0.387,77.0,80.0
5.25,77.0,80.0
6.3580000000000005,77.0,80.0
1.552,77.0,80.0
5.625,77.0,80.0
6.3580000000000005,77.0,80.0
7.44,78.0,80.0
8.162,78.0,80.0
0.0,78.0,80.0
0.0,77.0,80.0
6.0,77.0,80.0
0.0,77.0,80.0
5.64,78.0,80.0
0.0,78.0,80.0
5.984,78.0,78.0
7.087,78.0,78.0
7.791,78.0,78.0
8.856,78.0,80.0
9.568,78.0,80.0
0.0,78.0,80.0
7.125,78.0,80.0
6.714,78.0,80.0
5.61,78.0,80.0
8.206,78.0,80.0
7.0680000000000005,78.0,80.0
8.14,78.0,80.0
8.856,78.0,80.0
8.856,78.0,80.0
8.856,78.0,80.0
9.909,78.0,80.0
0.77,78.0,80.0
0.385,78.0,80.0
1.905,78.0,80.0
0.0,78.0,80.0
6.016,78.0,80.0
5.25,78.0,80.0
6.714,78.0,80.0
2.66,78.0,80.0
5.625,78.0,80.0
5.61,78.0,80.0
