kW,V,I,t1
1.47,420.0,3.5,31.0
1.596,420.0,3.8,31.0
1.47,420.0,3.5,31.0
1.428,420.0,3.4,31.0
1.5956199999999998,419.9,3.8,31.0
1.5956199999999998,419.9,3.8,31.0
1.5116399999999999,419.9,3.6,31.0
1.5116399999999999,419.9,3.6,31.0
1.5956199999999998,419.9,3.8,31.0
1.5956199999999998,419.9,3.8,31.0
1.47,420.0,3.5,31.0
0.7567200000000001,420.4,1.8,31.0
0.8830500000000001,420.5,2.1,31.0
1.00872,420.3,2.4,31.0
1.0927799999999999,420.3,2.6,31.0
1.30231,420.1,3.1,31.0
1.428,420.0,3.4,31.0
1.596,420.0,3.8,31.0
1.42766,419.9,3.4,31.0
1.512,420.0,3.6,31.0
1.428,420.0,3.4,31.0
1.554,420.0,3.7,31.0
1.5536299999999998,419.9,3.7,31.0
1.512,420.0,3.6,31.0
1.344,420.0,3.2,31.0
1.17628,420.1,2.8,31.0
1.1345399999999999,420.2,2.7,31.0
0.8826300000000001,420.3,2.1,31.0
0.8408,420.4,2.0,31.0
1.00872,420.3,2.4,31.0
1.00872,420.3,2.4,31.0
1.0084799999999998,420.2,2.4,31.0
0.9666899999999999,420.3,2.3,31.0
0.92466,420.3,2.2,31.0
1.0927799999999999,420.3,2.6,31.0
0.9666899999999999,420.3,2.3,31.0
1.00872,420.3,2.4,31.0
1.00872,420.3,2.4,31.0
1.00872,420.3,2.4,31.0
1.00872,420.3,2.4,31.0
1.05075,420.3,2.5,31.0
1.05075,420.3,2.5,31.0
1.0505,420.2,2.5,31.0
1.88955,419.9,4.5,31.0
1.8042799999999999,419.6,4.3,31.0
1.84668,419.7,4.4,31.0
1.1337300000000001,419.9,2.7,31.0
1.0927799999999999,420.3,2.6,31.0
1.17656,420.2,2.8,31.0
1.30231,420.1,3.1,31.0
1.26,420.0,3.0,31.0
0.12614999999999998,420.5,0.3,31.0
0.21045,420.9,0.5,31.0
0.33664000000000005,420.8,0.8,31.0
